num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;     3;  0.2426;  100.0;  100.0;  6.31e-16;
         1;  0.0; 3;     3;  0.0217;  100.0;  100.0;  5.58e-16;
         1;  0.0; 7;     4;  0.0124;  100.0;  100.0;  1.00e-02;
         1;  1.0; 1;    91;  0.3541;  100.0;  100.0;  3.40e+00;
         1;  1.0; 3;    20;  0.1368;  100.0;  100.0;  3.40e+00;
         1;  1.0; 7;  1000;  0.0862;  100.0;  100.0;  1.09e+01;
         1; 10.0; 1;    49;  0.3340;  100.0;  100.0;  1.41e+01;
         1; 10.0; 3;    35;  0.2075;  100.0;  100.0;  1.41e+01;
         1; 10.0; 7;  1000;  0.0776;   95.6;   87.6;       Inf;
         2;  0.0; 1;    59;  0.2300;  100.0;   99.6;  5.49e-07;
         2;  0.0; 3;    83;  0.3881;  100.0;   99.6;  2.52e-07;
         2;  0.0; 7;    20;  0.0025;   94.4;   88.4;  1.35e+01;
         2;  1.0; 1;   217;  0.6381;  100.0;   99.2;  6.61e+00;
         2;  1.0; 3;    24;  0.1119;  100.0;   99.2;  6.61e+00;
         2;  1.0; 7;  1000;  0.0806;   95.2;   88.8;  1.86e+01;
         2; 10.0; 1;    84;  0.3024;   98.0;   92.8;  2.13e+01;
         2; 10.0; 3;    41;  0.1836;   98.0;   92.8;  2.13e+01;
         2; 10.0; 7;  1000;  0.0519;   66.0;   34.8;       Inf;
         3;  0.0; 1;  1000;  3.1254;  100.0;   98.0;  8.21e-05;
         3;  0.0; 3;    15;  0.0438;  100.0;   98.0;  1.96e-34;
         3;  0.0; 7;    13;  0.0016;   52.8;    6.4;  1.18e+02;
         3;  1.0; 1;   430;  1.2362;  100.0;   99.2;  1.07e+01;
         3;  1.0; 3;    31;  0.1825;  100.0;   99.2;  1.07e+01;
         3;  1.0; 7;  1000;  0.0543;   96.4;   95.6;  2.75e+01;
         3; 10.0; 1;  1000;  1.6676;   98.8;   98.8;  2.99e+01;
         3; 10.0; 3;    40;  0.1863;   98.8;   98.8;  2.99e+01;
         3; 10.0; 7;  1000;  0.0548;   52.8;    6.4;       Inf;
         4;  0.0; 1;     3;  0.0098;  100.0;  100.0;  8.19e-14;
         4;  0.0; 3;     3;  0.0120;  100.0;  100.0;  3.77e-14;
         4;  0.0; 7;    11;  0.0015;  100.0;   99.6;  6.98e-04;
         4;  1.0; 1;    97;  0.3320;  100.0;  100.0;  3.33e+00;
         4;  1.0; 3;    20;  0.1115;  100.0;  100.0;  3.33e+00;
         4;  1.0; 7;  1000;  0.0524;  100.0;   99.6;  1.09e+01;
         4; 10.0; 1;    39;  0.1618;  100.0;  100.0;  1.36e+01;
         4; 10.0; 3;    34;  0.1482;  100.0;  100.0;  1.36e+01;
         4; 10.0; 7;  1000;  0.0522;   82.8;   64.8;       Inf;
         5;  0.0; 1;   109;  0.3682;  100.0;  100.0;  5.60e-07;
         5;  0.0; 3;    15;  0.0483;  100.0;   98.4;  1.30e-25;
         5;  0.0; 7;    12;  0.0015;  100.0;   98.8;  2.33e-01;
         5;  1.0; 1;   176;  0.5413;  100.0;  100.0;  4.51e+00;
